session_key,track,driver,driver_number,lap,pit_duration,team
9839,Yas_Marina_Circuit,L STROLL,18,42,21.5,AstonMartin
9839,Yas_Marina_Circuit,M VERSTAPPEN,1,23,21.7,RedBull
9839,Yas_Marina_Circuit,Y TSUNODA,22,32,27.0,RedBull
9839,Yas_Marina_Circuit,L HAMILTON,44,8,21.6,Ferrari
9839,Yas_Marina_Circuit,L HAMILTON,44,31,21.4,Ferrari
9839,Yas_Marina_Circuit,L NORRIS,4,16,21.3,McLaren
9839,Yas_Marina_Circuit,L NORRIS,4,40,21.4,McLaren
9839,Yas_Marina_Circuit,G RUSSELL,63,14,21.9,Mercedes
9839,Yas_Marina_Circuit,O PIASTRI,81,41,21.5,McLaren
9850,Lusail,K ANTONELLI,12,7,32.0,Mercedes
9850,Lusail,K ANTONELLI,12,32,28.5,Mercedes
9850,Lusail,F ALONSO,14,7,28.2,AstonMartin
9850,Lusail,F ALONSO,14,32,28.9,AstonMartin
9850,Lusail,C LECLERC,16,7,30.3,Ferrari
9850,Lusail,C LECLERC,16,32,28.9,Ferrari
9850,Lusail,L STROLL,18,7,28.1,AstonMartin
9850,Lusail,L STROLL,18,24,28.0,AstonMartin
9850,Lusail,L STROLL,18,49,35.6,AstonMartin
9850,Lusail,M VERSTAPPEN,1,7,29.9,RedBull
9850,Lusail,M VERSTAPPEN,1,32,28.1,RedBull
9850,Lusail,Y TSUNODA,22,7,29.1,RedBull
9850,Lusail,Y TSUNODA,22,32,28.3,RedBull
9850,Lusail,L HAMILTON,44,7,32.1,Ferrari
9850,Lusail,L HAMILTON,44,32,28.5,Ferrari
9850,Lusail,L NORRIS,4,25,27.9,McLaren
9850,Lusail,L NORRIS,4,44,28.2,McLaren
9850,Lusail,G RUSSELL,63,7,33.2,Mercedes
9850,Lusail,G RUSSELL,63,32,29.0,Mercedes
9850,Lusail,O PIASTRI,81,24,29.0,McLaren
9850,Lusail,O PIASTRI,81,42,27.8,McLaren
9858,Las_Vegas,K ANTONELLI,12,2,21.9,Mercedes
9858,Las_Vegas,F ALONSO,14,16,21.0,AstonMartin
9858,Las_Vegas,C LECLERC,16,24,21.3,Ferrari
9858,Las_Vegas,M VERSTAPPEN,1,25,21.7,RedBull
9858,Las_Vegas,Y TSUNODA,22,1,21.3,RedBull
9858,Las_Vegas,Y TSUNODA,22,27,20.6,RedBull
9858,Las_Vegas,L HAMILTON,44,29,21.6,Ferrari
9858,Las_Vegas,L NORRIS,4,22,21.0,McLaren
9858,Las_Vegas,G RUSSELL,63,17,20.9,Mercedes
9858,Las_Vegas,O PIASTRI,81,21,21.3,McLaren
9869,Interlagos,K ANTONELLI,12,21,23.3,Mercedes
9869,Interlagos,K ANTONELLI,12,47,23.4,Mercedes
9869,Interlagos,F ALONSO,14,28,23.9,AstonMartin
9869,Interlagos,F ALONSO,14,46,23.5,AstonMartin
9869,Interlagos,M VERSTAPPEN,1,7,23.1,RedBull
9869,Interlagos,M VERSTAPPEN,1,34,23.0,RedBull
9869,Interlagos,M VERSTAPPEN,1,54,23.3,RedBull
9869,Interlagos,Y TSUNODA,22,2,22.9,RedBull
9869,Interlagos,Y TSUNODA,22,24,34.1,RedBull
9869,Interlagos,Y TSUNODA,22,47,33.8,RedBull
9869,Interlagos,L HAMILTON,44,2,40.0,Ferrari
9869,Interlagos,L HAMILTON,44,14,23.4,Ferrari
9869,Interlagos,L HAMILTON,44,32,30.7,Ferrari
