session_key,track,driver,driver_number,lap,s1,s2,s3,lap_time,is_pit_out_lap,is_pit_in_lap,is_clean_lap,dnf,team
10006,Suzuka,L NORRIS,4,11,32.991,42.409,18.174,93.574,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,12,32.772,42.461,18.232,93.465,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,13,32.865,42.452,18.149,93.466,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,14,32.836,42.571,18.106,93.513,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,15,32.866,42.525,18.119,93.51,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,16,32.626,42.666,18.109,93.401,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,17,32.645,42.599,18.084,93.328,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,18,32.527,42.562,18.172,93.261,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,19,32.465,42.471,18.052,92.988,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,20,32.493,42.539,18.087,93.119,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,21,32.337,42.48,20.217,95.034,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,22,54.865,41.955,17.977,114.797,True,,False,0,McLaren
10006,Suzuka,L NORRIS,4,23,32.903,41.891,17.925,92.719,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,24,32.773,41.938,18.006,92.717,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,25,32.511,41.782,17.945,92.238,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,26,32.632,42.004,17.931,92.567,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,27,32.505,41.844,17.954,92.303,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,28,32.409,41.727,17.948,92.084,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,29,32.303,41.922,17.951,92.176,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,30,32.193,41.861,18.052,92.106,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,31,32.015,41.78,17.965,91.76,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,32,32.079,41.898,17.934,91.911,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,33,32.085,41.805,18.016,91.906,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,34,32.047,41.96,17.894,91.901,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,35,32.056,41.994,17.926,91.976,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,36,31.933,41.85,17.844,91.627,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,37,31.926,41.892,17.918,91.736,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,38,31.82,41.951,17.887,91.658,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,39,31.827,42.13,18.006,91.963,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,40,31.881,41.83,17.875,91.586,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,41,31.724,41.866,17.931,91.521,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,42,31.76,41.86,17.836,91.456,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,43,31.711,41.935,17.927,91.573,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,44,31.677,41.782,17.949,91.408,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,45,31.692,41.883,17.949,91.524,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,46,31.607,41.908,17.868,91.383,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,47,31.628,41.848,17.888,91.364,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,48,31.493,41.969,17.94,91.402,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,49,31.548,41.97,17.943,91.461,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,50,31.46,41.784,17.909,91.153,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,51,31.464,41.728,17.924,91.116,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,52,31.35,42.06,18.036,91.446,False,,True,0,McLaren
10006,Suzuka,L NORRIS,4,53,31.235,41.76,18.428,91.423,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,1,,42.151,18.336,,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,2,33.936,41.858,18.29,94.084,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,3,33.517,42.133,18.392,94.042,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,4,33.268,42.124,18.307,93.699,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,5,33.372,42.313,18.282,93.967,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,6,33.423,42.2,18.208,93.831,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,7,33.261,42.321,18.267,93.849,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,8,33.108,42.368,18.296,93.772,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,9,32.892,42.469,18.229,93.59,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,10,33.557,42.358,18.26,94.175,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,11,32.995,42.273,18.211,93.479,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,12,32.725,42.416,18.193,93.334,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,13,32.732,42.36,18.161,93.253,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,14,32.817,42.554,18.189,93.56,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,15,32.823,42.364,18.174,93.361,False,,True,0,McLaren
10006,Suzuka,O PIASTRI,81,16,32.869,42.503,18.2,93.572,False,,True,0,McLaren
