session_key,track,driver,driver_number,team,grid,finish_position,status,best_lap_time,pit_count,dnf
9869,Interlagos,L NORRIS,4,McLaren,,1.0,,,2,0
9869,Interlagos,G RUSSELL,63,Mercedes,,4.0,,,2,0
9869,Interlagos,O PIASTRI,81,McLaren,,5.0,,,1,0
9877,Mexico_City,K ANTONELLI,12,Mercedes,,6.0,,,2,0
9877,Mexico_City,F ALONSO,14,AstonMartin,,,,,1,1
9877,Mexico_City,C LECLERC,16,Ferrari,,2.0,,,1,0
9877,Mexico_City,L STROLL,18,AstonMartin,,14.0,,,2,0
9877,Mexico_City,M VERSTAPPEN,1,RedBull,,3.0,,,1,0
9877,Mexico_City,Y TSUNODA,22,RedBull,,11.0,,,1,0
9877,Mexico_City,L HAMILTON,44,Ferrari,,8.0,,,2,0
9877,Mexico_City,L NORRIS,4,McLaren,,1.0,,,1,0
9877,Mexico_City,G RUSSELL,63,Mercedes,,7.0,,,2,0
9877,Mexico_City,O PIASTRI,81,McLaren,,5.0,,,2,0
9888,Austin,K ANTONELLI,12,Mercedes,,13.0,,,1,0
9888,Austin,F ALONSO,14,AstonMartin,,10.0,,,1,0
9888,Austin,C LECLERC,16,Ferrari,,3.0,,,1,0
9888,Austin,L STROLL,18,AstonMartin,,12.0,,,1,0
9888,Austin,M VERSTAPPEN,1,RedBull,,1.0,,,1,0
9888,Austin,Y TSUNODA,22,RedBull,,7.0,,,1,0
9888,Austin,L HAMILTON,44,Ferrari,,4.0,,,1,0
9888,Austin,L NORRIS,4,McLaren,,2.0,,,1,0
9888,Austin,G RUSSELL,63,Mercedes,,6.0,,,1,0
9888,Austin,O PIASTRI,81,McLaren,,5.0,,,1,0
9896,Singapore,K ANTONELLI,12,Mercedes,,5.0,,,1,0
9896,Singapore,F ALONSO,14,AstonMartin,,7.0,,,1,0
9896,Singapore,C LECLERC,16,Ferrari,,6.0,,,1,0
9896,Singapore,L STROLL,18,AstonMartin,,13.0,,,1,0
9896,Singapore,M VERSTAPPEN,1,RedBull,,2.0,,,1,0
9896,Singapore,Y TSUNODA,22,RedBull,,12.0,,,1,0
9896,Singapore,L HAMILTON,44,Ferrari,,8.0,,,2,0
9896,Singapore,L NORRIS,4,McLaren,,3.0,,,1,0
9896,Singapore,G RUSSELL,63,Mercedes,,1.0,,,1,0
9896,Singapore,O PIASTRI,81,McLaren,,4.0,,,1,0
9904,Baku,K ANTONELLI,12,Mercedes,,4.0,,,1,0
9904,Baku,F ALONSO,14,AstonMartin,,15.0,,,1,0
9904,Baku,C LECLERC,16,Ferrari,,9.0,,,1,0
9904,Baku,L STROLL,18,AstonMartin,,17.0,,,0,0
9904,Baku,M VERSTAPPEN,1,RedBull,,1.0,,,1,0
9904,Baku,Y TSUNODA,22,RedBull,,6.0,,,1,0
9904,Baku,L HAMILTON,44,Ferrari,,8.0,,,1,0
9904,Baku,L NORRIS,4,McLaren,,7.0,,,1,0
9904,Baku,G RUSSELL,63,Mercedes,,2.0,,,1,0
9904,Baku,O PIASTRI,81,McLaren,,,,,0,1
9912,Monza,K ANTONELLI,12,Mercedes,,9.0,,,1,0
9912,Monza,F ALONSO,14,AstonMartin,,,,,1,1
9912,Monza,C LECLERC,16,Ferrari,,4.0,,,1,0
9912,Monza,L STROLL,18,AstonMartin,,18.0,,,1,0
9912,Monza,M VERSTAPPEN,1,RedBull,,1.0,,,1,0
9912,Monza,Y TSUNODA,22,RedBull,,13.0,,,1,0
9912,Monza,L HAMILTON,44,Ferrari,,6.0,,,1,0
9912,Monza,L NORRIS,4,McLaren,,2.0,,,1,0
9912,Monza,G RUSSELL,63,Mercedes,,5.0,,,1,0
9912,Monza,O PIASTRI,81,McLaren,,3.0,,,1,0
9920,Zandvoort,K ANTONELLI,12,Mercedes,,16.0,,,3,0
9920,Zandvoort,F ALONSO,14,AstonMartin,,8.0,,,2,0
9920,Zandvoort,C LECLERC,16,Ferrari,,,,,2,1
9920,Zandvoort,L STROLL,18,AstonMartin,,7.0,,,2,0
